time:1662583044057Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740174383168Acc:[0.3241272, 5.23732, 7.9308014]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740238256459Acc:[0.28102112, 5.2947845, 7.902069]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740302129750Acc:[0.13737488, 5.1367645, 9.065643]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740365972524Acc:[0.29060364, 5.1607056, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740429815297Acc:[0.21878052, 5.280411, 8.165421]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740493627553Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:[15.513611, -13.218689, -43.914795]Pre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:[0.0, 0.0, 0.0]Mag:[15.513611, -13.218689, -43.914795]Pre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:[0.0, 0.0, 0.0]Mag:[15.513611, -13.218689, -43.914795]Pre:nullrot:[0.24809524, 0.11465069, 0.44349825, 0.85358846, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740557531362Acc:[0.10864258, 5.2229614, 8.237244]Gyro:[0.0, 0.0, 0.0]Mag:[15.513611, -13.218689, -43.914795]Pre:nullrot:[0.24809524, 0.11465069, 0.44349825, 0.85358846, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740621404653Acc:[0.1517334, 5.146347, 8.639481]Gyro:[0.0, 0.0, 0.0]Mag:[15.513611, -13.218689, -43.914795]Pre:nullrot:[0.24809524, 0.11465069, 0.44349825, 0.85358846, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740685216908Acc:[0.0894928, 5.0984497, 8.318665]Gyro:[0.0, 0.0, 0.0]Mag:[15.513611, -13.218689, -43.914795]Pre:nullrot:[0.24809524, 0.11465069, 0.44349825, 0.85358846, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740749547963Acc:[0.0894928, 5.0984497, 8.318665]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.24809524, 0.11465069, 0.44349825, 0.85358846, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740749547963Acc:[0.0894928, 5.0984497, 8.318665]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.25227597, 0.11613275, 0.43693602, 0.8555448, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740749547963Acc:[0.0894928, 5.0984497, 8.318665]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.25227597, 0.11613275, 0.43693602, 0.8555448, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740749090200Acc:[0.22834778, 5.0793, 8.510193]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.25227597, 0.11613275, 0.43693602, 0.8555448, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740812932973Acc:[0.21398926, 5.1128235, 8.275558]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.25227597, 0.11613275, 0.43693602, 0.8555448, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740876775746Acc:[0.19961548, 5.1176147, 8.409637]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.25227597, 0.11613275, 0.43693602, 0.8555448, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740950963979Acc:[0.19961548, 5.1176147, 8.409637]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -13.369751, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740950963979Acc:[0.19961548, 5.1176147, 8.409637]Gyro:[0.0, 0.0, 0.0]Mag:[15.663147, -12.994385, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740950963979Acc:[0.19961548, 5.1176147, 8.409637]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.663147, -12.994385, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740940649037Acc:[0.34327698, 5.084091, 8.34259]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.663147, -12.994385, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741004461293Acc:[0.24272156, 5.1176147, 8.423996]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.663147, -12.994385, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741068304067Acc:[0.28102112, 5.103241, 8.423996]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.663147, -12.994385, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741152379994Acc:[0.28102112, 5.103241, 8.423996]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.588379, -12.919617, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741132207875Acc:[0.5443878, 5.146332, 8.285141]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.588379, -12.919617, -43.763733]Pre:nullrot:[0.24878271, 0.1162915, 0.44016197, 0.8548923, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741152379994Acc:[0.5443878, 5.146332, 8.285141]Gyro:[0.07714844, 0.036224365, 0.13539124]Mag:[15.588379, -12.919617, -43.763733]Pre:nullrot:[0.24801853, 0.115554065, 0.44203067, 0.85424995, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
