time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121899087906Acc:[-0.82510376, 3.628418, 9.032135]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121962503433Acc:[-1.0262146, 3.7768555, 8.998611]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122026224136Acc:[-0.71017456, 3.2118225, 9.386459]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122089761734Acc:[-0.50427246, 3.0202942, 9.386475]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18208604, 0.010240688, -0.15798955, 0.970453, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122103036881Acc:[-0.50427246, 3.0202942, 9.386475]Gyro:[0.0, 0.0, 0.0]Mag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122103036881Acc:[-0.50427246, 3.0202942, 9.386475]Gyro:[0.0, 0.0, 0.0]Mag:[-14.486694, 37.705994, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122103036881Acc:[-0.50427246, 3.0202942, 9.386475]Gyro:[0.0, 0.0, 0.0]Mag:[-14.486694, 37.705994, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122153299332Acc:[-0.6575012, 3.4320831, 9.17099]Gyro:[0.0, 0.0, 0.0]Mag:[-14.486694, 37.705994, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122216806412Acc:[-0.6239929, 3.5278625, 9.137482]Gyro:[0.0, 0.0, 0.0]Mag:[-14.486694, 37.705994, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122280282974Acc:[-0.72932434, 3.4656067, 8.965088]Gyro:[0.0, 0.0, 0.0]Mag:[-14.486694, 37.705994, -55.314636]Pre:nullrot:[0.18727009, 0.011142868, -0.15785968, 0.96947724, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
