time:1150938620674Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777545279609Acc:[0.48692322, 5.1607056, 8.112747]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777608847724Acc:[0.6305847, 5.242111, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777672415840Acc:[0.18525696, 5.055359, 9.247604]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777736044990Acc:[-0.18824768, 4.8590393, 9.003403]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777799643623Acc:[0.5731201, 3.8630524, 8.740036]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777863211738Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:[-21.611023, 31.0318, -56.814575]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.611023, 31.0318, -56.814575]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777926810371Acc:[0.501297, 3.8391113, 9.017761]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.611023, 31.0318, -56.814575]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777990378486Acc:[0.8460541, 3.7050323, 8.902832]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.611023, 31.0318, -56.814575]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778053977119Acc:[0.6928253, 4.107254, 8.979446]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.611023, 31.0318, -56.814575]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778114981758Acc:[0.6928253, 4.107254, 8.979446]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778114981758Acc:[0.6928253, 4.107254, 8.979446]Gyro:[4.7302246E-4, -2.4414062E-4, 0.0010070801]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778114981758Acc:[0.6928253, 4.107254, 8.979446]Gyro:[0.0076446533, -3.9672852E-4, 8.8500977E-4]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778117514717Acc:[0.58747864, 4.442444, 8.534134]Gyro:[0.0076446533, -3.9672852E-4, 8.8500977E-4]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778181143867Acc:[0.4725647, 4.4615936, 8.653839]Gyro:[0.0076446533, -3.9672852E-4, 8.8500977E-4]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778244742500Acc:[0.5922699, 4.5238495, 8.419205]Gyro:[0.0076446533, -3.9672852E-4, 8.8500977E-4]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778308280098Acc:[0.15652466, 4.811157, 8.462311]Gyro:[0.0076446533, -3.9672852E-4, 8.8500977E-4]Mag:[-21.160889, 30.880737, -56.588745]Pre:nullrot:[0.22552173, -0.060630657, -0.1682582, 0.95768106, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
