time:77185851518841Acc:[0.17089844, 2.3451233, 9.338593]Gyro:[-0.013671875, 0.022918701, -0.0116119385]Mag:[10.188293, 32.380676, -14.215088]Pre:nullrot:[0.11158446, 0.042095732, 0.14416386, 0.9823409, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77185851488324Acc:[0.17089844, 2.3451233, 9.338593]Gyro:[-0.013671875, 0.022918701, -0.0116119385]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11158446, 0.042095732, 0.14416386, 0.9823409, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77185851488324Acc:[0.17089844, 2.3451233, 9.338593]Gyro:[-0.013671875, 0.022918701, -0.0116119385]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77185851488324Acc:[0.17089844, 2.3451233, 9.338593]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77185914720746Acc:[0.10864258, 2.3211823, 9.501389]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77185977800580Acc:[0.060760498, 2.4600372, 9.372101]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186041905569Acc:[0.0320282, 2.6419983, 9.1805725]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[8.538818, 32.380676, -14.964294]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186052861380Acc:[0.0320282, 2.6419983, 9.1805725]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.11390572, 0.012933052, 0.13034691, 0.9848187, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186052861380Acc:[0.0320282, 2.6419983, 9.1805725]Gyro:[-0.031311035, 0.0025482178, -0.038604736]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186052861380Acc:[0.0320282, 2.6419983, 9.1805725]Gyro:[-0.04798889, -0.014587402, -0.06124878]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186105443167Acc:[0.022445679, 2.6419983, 9.640259]Gyro:[-0.04798889, -0.014587402, -0.06124878]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186169072317Acc:[-0.025421143, 2.4792023, 9.625885]Gyro:[-0.04798889, -0.014587402, -0.06124878]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186232640432Acc:[-0.0062713623, 2.426529, 9.48703]Gyro:[-0.04798889, -0.014587402, -0.06124878]Mag:[6.663513, 32.081604, -15.1901245]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186254277395Acc:[-0.0062713623, 2.426529, 9.48703]Gyro:[-0.04798889, -0.014587402, -0.06124878]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186254277395Acc:[-0.0062713623, 2.426529, 9.48703]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12012023, 0.005556776, 0.10813435, 0.98683697, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186254277395Acc:[-0.0062713623, 2.426529, 9.48703]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12863092, 0.009735595, 0.1039348, 0.986183, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186296239065Acc:[0.008087158, 2.4456787, 9.434357]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12863092, 0.009735595, 0.1039348, 0.986183, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186359807181Acc:[0.04159546, 2.5270844, 9.362518]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12863092, 0.009735595, 0.1039348, 0.986183, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186423405813Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 31.930542, -15.939331]Pre:nullrot:[0.12863092, 0.009735595, 0.1039348, 0.986183, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186455754446Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12863092, 0.009735595, 0.1039348, 0.986183, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186455754446Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186455754446Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
