time:76879620912999Acc:[-0.54737854, 2.5270844, 9.4774475]Gyro:[0.028884888, 0.0020751953, 0.018936157]Mag:[11.538696, 28.330994, -14.51416]Pre:nullrot:[0.15376607, 0.0359221, 0.18466629, 0.970033, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879598085851Acc:[-0.54737854, 2.5270844, 9.4774475]Gyro:[0.028884888, 0.0020751953, 0.018936157]Mag:[11.538696, 28.330994, -14.51416]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879598085851Acc:[-0.54737854, 2.5270844, 9.4774475]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.538696, 28.330994, -14.51416]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879598085851Acc:[-0.54737854, 2.5270844, 9.4774475]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879684999913Acc:[-0.64793396, 2.5701752, 9.601944]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879748568028Acc:[-0.44203186, 2.5079346, 9.415192]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879812105626Acc:[-0.7197571, 2.5127106, 9.6642]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12967783, 0.04466962, 0.17041995, 0.97577935, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879799837560Acc:[-0.7197571, 2.5127106, 9.6642]Gyro:[0.022415161, 0.004272461, 0.021560669]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879799837560Acc:[-0.7197571, 2.5127106, 9.6642]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[11.688232, 29.530334, -14.138794]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879799837560Acc:[-0.7197571, 2.5127106, 9.6642]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[11.9140625, 29.530334, -14.064026]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879875704259Acc:[-0.5952606, 2.5558167, 9.281128]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[11.9140625, 29.530334, -14.064026]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76879939241856Acc:[-0.5282135, 2.5941162, 9.30986]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[11.9140625, 29.530334, -14.064026]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880002779454Acc:[-0.56173706, 2.565384, 9.530121]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[11.9140625, 29.530334, -14.064026]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880001223058Acc:[-0.56173706, 2.565384, 9.530121]Gyro:[0.013259888, 0.006149292, 0.023376465]Mag:[12.287903, 29.530334, -13.839722]Pre:nullrot:[0.12514733, 0.04844932, 0.16770947, 0.9766598, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
