time:788813733151533Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940913571455Acc:[-2.68779, 2.9436798, 8.912415]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940976956465Acc:[-2.1036072, 0.108947754, 9.68335]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941041043379Acc:[-2.1802216, -0.2741394, 12.723984]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941104794599Acc:[-1.6103973, 0.7266388, 8.936356]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941168545820Acc:[-1.9599609, 1.4161682, 9.836578]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941232327558Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941296078779Acc:[-1.715744, 1.1192932, 10.181351]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941360013105Acc:[-1.2321167, 0.73143005, 10.04248]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941423611738Acc:[-1.2033844, 1.0139465, 9.34816]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941450863935Acc:[-1.2033844, 1.0139465, 9.34816]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07455483, 0.08958725, -0.32433587, 0.93873423, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941450863935Acc:[-1.2033844, 1.0139465, 9.34816]Gyro:[-0.0082092285, 0.005340576, -0.011886597]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941450863935Acc:[-1.2033844, 1.0139465, 9.34816]Gyro:[-0.0093688965, 0.023651123, -0.01889038]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941487332441Acc:[-1.5529327, 1.162384, 9.558853]Gyro:[-0.0093688965, 0.023651123, -0.01889038]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941551114179Acc:[-1.4859009, 1.3491364, 9.156631]Gyro:[-0.0093688965, 0.023651123, -0.01889038]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941614865400Acc:[-1.2895813, 1.4257507, 9.534912]Gyro:[-0.0093688965, 0.023651123, -0.01889038]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941678097822Acc:[-1.2752075, 1.3156128, 9.645035]Gyro:[-0.0093688965, 0.023651123, -0.01889038]Mag:[-39.387512, 58.0307, -49.31488]Pre:nullrot:[0.07408051, 0.07372005, -0.31781483, 0.9423753, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
