time:789129340295802Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160878564845Acc:[0.68803406, 5.309143, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160942316065Acc:[0.53001404, 5.1223907, 8.864532]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161006128321Acc:[0.90830994, 4.782425, 8.687363]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161069940577Acc:[0.7885895, 5.0026855, 8.428787]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161134149562Acc:[0.8699951, 4.8255157, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161197534571Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161261316310Acc:[0.17567444, 5.0984497, 8.4335785]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161325128565Acc:[0.12301636, 5.0170593, 8.629898]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161388879786Acc:[-0.030227661, 5.4049225, 8.505402]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161397180567Acc:[-0.030227661, 5.4049225, 8.505402]Gyro:[-0.0019836426, 0.01876831, -0.023117065]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161397180567Acc:[-0.030227661, 5.4049225, 8.505402]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.23301111, -0.12830882, -0.345224, 0.900035, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161397180567Acc:[-0.030227661, 5.4049225, 8.505402]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.2359946, -0.12570003, -0.33307904, 0.9041927, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161452692042Acc:[0.008087158, 5.467163, 7.720108]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.2359946, -0.12570003, -0.33307904, 0.9041927, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161516473780Acc:[-0.015853882, 5.3139343, 7.9643097]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.2359946, -0.12570003, -0.33307904, 0.9041927, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161580286036Acc:[-0.020645142, 5.443222, 7.8206635]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.2359946, -0.12570003, -0.33307904, 0.9041927, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161598566065Acc:[-0.020645142, 5.443222, 7.8206635]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-43.58673, 35.231018, -39.34021]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161598566065Acc:[-0.020645142, 5.443222, 7.8206635]Gyro:[-0.0012512207, 0.021621704, -0.018310547]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161598566065Acc:[-0.020645142, 5.443222, 7.8206635]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161644067774Acc:[-0.379776, 5.7688293, 7.7584076]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161707880030Acc:[-0.2073822, 5.764038, 8.222885]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161771661769Acc:[0.3241272, 5.534195, 8.064865]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
