time:789291624013381Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295496449904Acc:[0.26187134, 8.344986, 4.928467]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295560231642Acc:[0.19483948, 8.373718, 5.00029]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295624104933Acc:[0.19004822, 8.383301, 4.8518524]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295687886672Acc:[0.28102112, 8.335419, 4.9428253]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295751393752Acc:[0.22355652, 8.368942, 4.9476166]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295815328078Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295842366652Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295842366652Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295842366652Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295879292922Acc:[0.26187134, 8.345001, 4.885376]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295943105177Acc:[0.2953949, 8.35936, 4.890167]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296006886916Acc:[0.15652466, 8.407242, 4.871002]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296043752150Acc:[0.15652466, 8.407242, 4.871002]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.45764205, -0.18856913, -0.30974948, 0.8118255, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296043752150Acc:[0.15652466, 8.407242, 4.871002]Gyro:[-0.06121826, 0.024368286, -0.062576294]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.4581317, -0.18794982, -0.30823714, 0.8122685, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296043752150Acc:[0.15652466, 8.407242, 4.871002]Gyro:[-0.029678345, 0.023254395, -0.05116272]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.4581317, -0.18794982, -0.30823714, 0.8122685, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296070668654Acc:[0.18525696, 8.431183, 4.837494]Gyro:[-0.029678345, 0.023254395, -0.05116272]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.4581317, -0.18794982, -0.30823714, 0.8122685, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296134480910Acc:[0.22357178, 8.364151, 4.8757935]Gyro:[-0.029678345, 0.023254395, -0.05116272]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.4581317, -0.18794982, -0.30823714, 0.8122685, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296198262648Acc:[0.10864258, 8.560471, 4.84227]Gyro:[-0.029678345, 0.023254395, -0.05116272]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.4581317, -0.18794982, -0.30823714, 0.8122685, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296245168166Acc:[0.10864258, 8.560471, 4.84227]Gyro:[-0.029678345, 0.023254395, -0.05116272]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296245168166Acc:[0.10864258, 8.560471, 4.84227]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-41.862488, 16.030884, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296245168166Acc:[0.10864258, 8.560471, 4.84227]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296262074904Acc:[0.20440674, 8.493439, 4.8614197]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296325887160Acc:[0.49650574, 8.3545685, 4.6220093]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296389668898Acc:[0.65452576, 8.153458, 4.655533]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
