time:789291624020738Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414249173325Acc:[-2.2376862, 6.6067963, 9.300278]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414312863511Acc:[-0.81552124, 5.984314, 8.826233]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414376797837Acc:[-1.3901367, 5.6395416, 7.605179]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414440549058Acc:[0.7694397, 5.6586914, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414504147691Acc:[0.8843689, 5.9795227, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414568173570Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414577084702Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414577084702Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.30972242, -0.03945126, -0.33462965, 0.88912237, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414577084702Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.30972242, -0.03945126, -0.33462965, 0.88912237, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414631924790Acc:[0.19004822, 6.5158234, 7.5572968]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.30972242, -0.03945126, -0.33462965, 0.88912237, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414695737046Acc:[0.2379303, 6.166275, 7.5285645]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.30972242, -0.03945126, -0.33462965, 0.88912237, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414759549302Acc:[0.027236938, 6.2476807, 7.5094147]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.30972242, -0.03945126, -0.33462965, 0.88912237, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414778500718Acc:[0.027236938, 6.2476807, 7.5094147]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414778500718Acc:[0.027236938, 6.2476807, 7.5094147]Gyro:[-0.0103302, 0.023345947, -0.015213013]Mag:[-39.987183, 29.380798, -50.21515]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414778500718Acc:[0.027236938, 6.2476807, 7.5094147]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.987183, 29.380798, -50.21515]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414823361558Acc:[-0.2026062, 6.1806335, 7.428009]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.987183, 29.380798, -50.21515]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414887173814Acc:[-0.18823242, 6.2428894, 7.9882507]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.987183, 29.380798, -50.21515]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414950955552Acc:[0.4151001, 6.319504, 7.5525055]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.987183, 29.380798, -50.21515]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414979916734Acc:[0.4151001, 6.319504, 7.5525055]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32762578, -0.078547314, -0.3083914, 0.889599, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414979916734Acc:[0.4151001, 6.319504, 7.5525055]Gyro:[-0.0054626465, 0.027633667, -0.017028809]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414979916734Acc:[0.4151001, 6.319504, 7.5525055]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415014737290Acc:[0.046401978, 6.477524, 7.3944855]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415078549546Acc:[-0.06852722, 6.4966736, 7.3466034]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415141537827Acc:[0.08470154, 6.3865356, 6.973114]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415206875962Acc:[-0.0541687, 6.534973, 7.083252]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
