time:789679029694623Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717613434857Acc:[2.3113098, 6.6786194, 6.2787933]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717677216595Acc:[2.2107544, 6.645111, 6.7576294]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717740967816Acc:[2.158081, 6.716934, 6.8725586]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717804810589Acc:[2.0718842, 6.7073517, 7.0497284]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717868592328Acc:[2.1293488, 6.6594696, 6.6858063]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717931824750Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.3264628, -0.21706809, -0.24567305, 0.8865372, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.3264628, -0.21706809, -0.24567305, 0.8865372, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717996216839Acc:[2.0431519, 6.6546936, 6.997055]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.3264628, -0.21706809, -0.24567305, 0.8865372, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718059998578Acc:[2.067093, 6.645111, 6.7863617]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.3264628, -0.21706809, -0.24567305, 0.8865372, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718123780316Acc:[2.0623016, 6.6068115, 6.930008]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.3264628, -0.21706809, -0.24567305, 0.8865372, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718111054486Acc:[2.0623016, 6.6068115, 6.930008]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718111054486Acc:[2.0623016, 6.6068115, 6.930008]Gyro:[-0.0024719238, -0.013366699, 0.006011963]Mag:[-40.437317, 20.831299, -45.86487]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718111054486Acc:[2.0623016, 6.6068115, 6.930008]Gyro:[0.0019683838, -0.011520386, -1.5258789E-5]Mag:[-40.437317, 20.831299, -45.86487]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718187592572Acc:[1.952179, 6.6594696, 6.925232]Gyro:[0.0019683838, -0.011520386, -1.5258789E-5]Mag:[-40.437317, 20.831299, -45.86487]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718251343793Acc:[2.000061, 6.6115875, 6.8438263]Gyro:[0.0019683838, -0.011520386, -1.5258789E-5]Mag:[-40.437317, 20.831299, -45.86487]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718315125531Acc:[1.9425964, 6.597229, 6.949173]Gyro:[0.0019683838, -0.011520386, -1.5258789E-5]Mag:[-40.437317, 20.831299, -45.86487]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718312470502Acc:[1.9425964, 6.597229, 6.949173]Gyro:[0.0019683838, -0.011520386, -1.5258789E-5]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718312470502Acc:[1.9425964, 6.597229, 6.949173]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32418033, -0.21452263, -0.2512673, 0.88642645, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718312470502Acc:[1.9425964, 6.597229, 6.949173]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718378968304Acc:[1.9186554, 6.64032, 6.8725586]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718442719525Acc:[2.0383606, 6.582855, 6.997055]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718506653851Acc:[1.9904785, 6.597229, 6.862976]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
