time:786650109665108Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351848465157Acc:[0.48692322, 4.2078094, 8.366531]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351912216377Acc:[0.3576355, 4.0689545, 9.094376]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351975998116Acc:[0.1469574, 4.016281, 9.094376]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352039779854Acc:[0.07034302, 3.944458, 9.228455]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352103012276Acc:[0.027236938, 3.8869934, 8.960297]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352167343331Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352177780342Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:nullMag:nullPre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352177780342Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:nullMag:[-41.71295, 37.78076, -46.16394]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352177780342Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-41.71295, 37.78076, -46.16394]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352231125069Acc:[0.0032958984, 3.925293, 8.907623]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-41.71295, 37.78076, -46.16394]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352294906807Acc:[-0.04458618, 3.8151703, 9.041702]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-41.71295, 37.78076, -46.16394]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352358658028Acc:[-0.015853882, 3.901352, 8.97467]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-41.71295, 37.78076, -46.16394]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352379196358Acc:[-0.015853882, 3.901352, 8.97467]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352379196358Acc:[-0.015853882, 3.901352, 8.97467]Gyro:[-2.593994E-4, -7.6293945E-5, -0.0034484863]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19428055, -0.073698334, -0.31125236, 0.9273325, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352379196358Acc:[-0.015853882, 3.901352, 8.97467]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19428055, -0.073698334, -0.31125236, 0.9273325, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352422439766Acc:[-0.015853882, 3.83432, 9.01297]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19428055, -0.073698334, -0.31125236, 0.9273325, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352486221504Acc:[-0.015853882, 3.7577057, 9.094376]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19428055, -0.073698334, -0.31125236, 0.9273325, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352549969310Acc:[-0.020645142, 3.786438, 8.989029]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19428055, -0.073698334, -0.31125236, 0.9273325, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352580639476Acc:[-0.020645142, 3.786438, 8.989029]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.586853, 37.931824, -46.688843]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352580639476Acc:[-0.020645142, 3.786438, 8.989029]Gyro:[0.030075073, 0.001159668, -0.056777954]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352580639476Acc:[-0.020645142, 3.786438, 8.989029]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352613781566Acc:[-0.020645142, 3.8391113, 8.826218]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352677593822Acc:[0.060760498, 3.762497, 9.194931]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352741375560Acc:[0.2379303, 3.4799805, 9.1853485]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352804607982Acc:[0.07511902, 3.5230713, 9.640244]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19335331, -0.06998912, -0.3107758, 0.9279733, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352781719798Acc:[0.07511902, 3.5230713, 9.640244]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.056396, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352781719798Acc:[0.07511902, 3.5230713, 9.640244]Gyro:[0.031204224, 0.0019683838, -0.0869751]Mag:[-40.66162, 39.730835, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352781719798Acc:[0.07511902, 3.5230713, 9.640244]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.66162, 39.730835, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352868878001Acc:[-0.04937744, 3.6763, 9.1853485]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.66162, 39.730835, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352932690257Acc:[-0.04458618, 3.786438, 8.577225]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.66162, 39.730835, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352996441478Acc:[0.81733704, 4.0785217, 9.573212]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.66162, 39.730835, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352983440990Acc:[0.81733704, 4.0785217, 9.573212]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.19223388, -0.06775716, -0.31014463, 0.9285825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352983440990Acc:[0.81733704, 4.0785217, 9.573212]Gyro:[0.15126038, 0.002243042, -0.047180176]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352983440990Acc:[0.81733704, 4.0785217, 9.573212]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353060711498Acc:[-0.5234375, 3.700241, 8.447937]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353123974437Acc:[-0.35583496, 3.8055878, 8.735245]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353187756175Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353251537914Acc:[0.09906006, 4.0928955, 8.77356]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353315289134Acc:[-0.09725952, 4.5669403, 8.634689]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353379101390Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353442822093Acc:[0.17089844, 4.791992, 7.9978333]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353506786937Acc:[-0.14993286, 4.74411, 9.147049]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353570507640Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353634258861Acc:[0.46298218, 4.758484, 7.5956116]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353698040599Acc:[0.7215576, 4.8829803, 8.376114]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
