time:786650109674903Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546845301124Acc:[1.3584137, 5.8789673, 7.3753357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546909143897Acc:[1.4685516, 6.2285156, 6.2835846]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546972895118Acc:[1.3919373, 5.9268494, 7.739258]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547036676856Acc:[0.99928284, 5.8406677, 8.471893]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547100458594Acc:[1.1094208, 5.912491, 7.542923]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547148523780Acc:[1.1094208, 5.912491, 7.542923]Gyro:nullMag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547148523780Acc:[1.1094208, 5.912491, 7.542923]Gyro:nullMag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547148523780Acc:[1.1094208, 5.912491, 7.542923]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547164270850Acc:[1.1812439, 5.912491, 7.5668793]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547228052588Acc:[1.1237793, 5.81192, 7.839813]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547290979835Acc:[0.99928284, 5.826294, 7.902069]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547349939795Acc:[0.99928284, 5.826294, 7.902069]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.2951679, -0.16366298, -0.27406543, 0.90054345, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547349939795Acc:[0.99928284, 5.826294, 7.902069]Gyro:[0.021530151, 0.00440979, -0.001083374]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.29065016, -0.15922093, -0.2792745, 0.9012086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547349939795Acc:[0.99928284, 5.826294, 7.902069]Gyro:[0.022750854, 0.0053100586, -0.0010986328]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.29065016, -0.15922093, -0.2792745, 0.9012086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547355677100Acc:[1.0471649, 5.8550262, 7.791931]Gyro:[0.022750854, 0.0053100586, -0.0010986328]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.29065016, -0.15922093, -0.2792745, 0.9012086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547419428321Acc:[1.1190033, 5.8358765, 7.744049]Gyro:[0.022750854, 0.0053100586, -0.0010986328]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.29065016, -0.15922093, -0.2792745, 0.9012086, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547450647803Acc:[1.1190033, 5.8358765, 7.744049]Gyro:[0.022750854, 0.0053100586, -0.0010986328]Mag:[-40.66162, 30.58014, -43.3136]Pre:nullrot:[0.28797856, -0.1559001, -0.28129095, 0.9020193, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547450647803Acc:[1.1190033, 5.8358765, 7.744049]Gyro:[0.022750854, 0.0053100586, -0.0010986328]Mag:[-41.33606, 30.58014, -45.339966]Pre:nullrot:[0.28797856, -0.1559001, -0.28129095, 0.9020193, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
