time:786650109678703Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706588865715Acc:[-1.576889, 6.64032, 7.739258]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706652586418Acc:[-0.96875, 6.664261, 6.8438263]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706716337638Acc:[-0.9974823, 6.582855, 7.2364655]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706780058342Acc:[-0.8921356, 6.6738434, 6.3937225]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706843870597Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706871397453Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:nullMag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706871397453Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:nullMag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706871397453Acc:[1.0758972, 6.2237244, 6.8055267]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706907621818Acc:[-0.14993286, 6.372177, 7.873337]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787706971342521Acc:[0.07991028, 6.7217255, 7.1885834]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707035093742Acc:[0.6641083, 6.218933, 8.668213]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707098448234Acc:[1.118988, 5.7448883, 7.969101]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-40.06195, 25.930786, -48.48938]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707073606926Acc:[1.118988, 5.7448883, 7.969101]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.36417696, -0.06997212, -0.32890007, 0.86850667, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707073606926Acc:[1.118988, 5.7448883, 7.969101]Gyro:[0.004196167, 0.011306763, -0.0053710938]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707073606926Acc:[1.118988, 5.7448883, 7.969101]Gyro:[0.02444458, 0.012390137, -0.0049743652]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707162596183Acc:[0.95140076, 6.0704956, 7.250839]Gyro:[0.02444458, 0.012390137, -0.0049743652]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707226347404Acc:[0.15652466, 6.415268, 5.843048]Gyro:[0.02444458, 0.012390137, -0.0049743652]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707290098625Acc:[-0.76763916, 6.233307, 7.677017]Gyro:[0.02444458, 0.012390137, -0.0049743652]Mag:[-43.511963, 26.756287, -49.839783]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707274260002Acc:[-0.76763916, 6.233307, 7.677017]Gyro:[0.02444458, 0.012390137, -0.0049743652]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707274260002Acc:[-0.76763916, 6.233307, 7.677017]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.34969056, -0.09821772, -0.32020685, 0.87494993, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707274260002Acc:[-0.76763916, 6.233307, 7.677017]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.32940233, -0.11381774, -0.31081045, 0.88427174, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707353849845Acc:[-0.7628479, 6.4296265, 7.4902496]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.32940233, -0.11381774, -0.31081045, 0.88427174, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707417601066Acc:[-0.4947052, 6.027405, 8.558075]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.32940233, -0.11381774, -0.31081045, 0.88427174, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707481443840Acc:[-0.26963806, 6.1519012, 7.6626434]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.32940233, -0.11381774, -0.31081045, 0.88427174, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707475645500Acc:[-0.26963806, 6.1519012, 7.6626434]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-42.912292, 28.256226, -50.289917]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707475645500Acc:[-0.26963806, 6.1519012, 7.6626434]Gyro:[0.054595947, 0.0129852295, -3.8146973E-4]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707475645500Acc:[-0.26963806, 6.1519012, 7.6626434]Gyro:[0.08001709, 0.016433716, 0.001083374]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707545103508Acc:[-0.41809082, 6.1519012, 7.969101]Gyro:[0.08001709, 0.016433716, 0.001083374]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707608824211Acc:[-0.17866516, 6.161484, 7.5525055]Gyro:[0.08001709, 0.016433716, 0.001083374]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707672575431Acc:[0.12779236, 6.525406, 6.8725586]Gyro:[0.08001709, 0.016433716, 0.001083374]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.33385077, -0.10913978, -0.30681732, 0.88458765, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707677061515Acc:[0.12779236, 6.525406, 6.8725586]Gyro:[0.08001709, 0.016433716, 0.001083374]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707677061515Acc:[0.12779236, 6.525406, 6.8725586]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.786194, 32.681274, -50.364685]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707677061515Acc:[0.12779236, 6.525406, 6.8725586]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.786194, 31.330872, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707736326652Acc:[0.0032958984, 6.534973, 7.159851]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.786194, 31.330872, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707800077873Acc:[-0.19781494, 6.534973, 7.016205]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.786194, 31.330872, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707863829093Acc:[-0.22654724, 6.6307373, 7.2316895]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.786194, 31.330872, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707878477531Acc:[-0.22654724, 6.6307373, 7.2316895]Gyro:[0.08113098, 0.016937256, -0.003921509]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707878477531Acc:[-0.22654724, 6.6307373, 7.2316895]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.31540027, -0.09557588, -0.31809178, 0.888935, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707878477531Acc:[-0.22654724, 6.6307373, 7.2316895]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.33123046, -0.10873131, -0.3073772, 0.88542825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707927580314Acc:[0.16131592, 6.616379, 7.150284]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.33123046, -0.10873131, -0.3073772, 0.88542825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787707991331535Acc:[0.25228882, 6.774399, 6.795944]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.33123046, -0.10873131, -0.3073772, 0.88542825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708055082756Acc:[0.42468262, 6.7935486, 6.8294525]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-41.937256, 30.80597, -50.51422]Pre:nullrot:[0.33123046, -0.10873131, -0.3073772, 0.88542825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708079893547Acc:[0.42468262, 6.7935486, 6.8294525]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.33123046, -0.10873131, -0.3073772, 0.88542825, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708079893547Acc:[0.42468262, 6.7935486, 6.8294525]Gyro:[0.07577515, 0.014251709, -0.014205933]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.3425622, -0.11426103, -0.3024761, 0.8821019, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708079893547Acc:[0.42468262, 6.7935486, 6.8294525]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.3425622, -0.11426103, -0.3024761, 0.8821019, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708118833976Acc:[-0.23612976, 6.851013, 7.332245]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.3425622, -0.11426103, -0.3024761, 0.8821019, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708182585197Acc:[-0.31274414, 7.138321, 6.657074]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.3425622, -0.11426103, -0.3024761, 0.8821019, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708246366935Acc:[0.05596924, 6.7456665, 7.3274536]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.3425622, -0.11426103, -0.3024761, 0.8821019, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708281340080Acc:[0.05596924, 6.7456665, 7.3274536]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-42.16156, 29.9057, -50.364685]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708281340080Acc:[0.05596924, 6.7456665, 7.3274536]Gyro:[0.0907135, 0.01449585, -0.023468018]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708281340080Acc:[0.05596924, 6.7456665, 7.3274536]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708310087638Acc:[-0.06852722, 6.5637054, 7.423218]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708373838859Acc:[0.27624512, 6.8558044, 6.455963]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708437620597Acc:[0.3863678, 7.047333, 6.2165375]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708501371818Acc:[0.26187134, 7.0233917, 6.4224396]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-41.862488, 27.281189, -50.064087]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708482725578Acc:[0.26187134, 7.0233917, 6.4224396]Gyro:[0.11817932, 0.016662598, -0.029968262]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708482725578Acc:[0.26187134, 7.0233917, 6.4224396]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35328886, -0.11917725, -0.2981777, 0.8786773, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708482725578Acc:[0.26187134, 7.0233917, 6.4224396]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35253257, -0.120583795, -0.29733202, 0.87907565, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708565092521Acc:[0.55397034, 6.9755096, 6.791153]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35253257, -0.120583795, -0.29733202, 0.87907565, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708628813224Acc:[0.3289032, 6.8893127, 7.020996]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35253257, -0.120583795, -0.29733202, 0.87907565, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708692594963Acc:[0.42945862, 6.8414307, 7.1215515]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.35253257, -0.120583795, -0.29733202, 0.87907565, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708684141593Acc:[0.42945862, 6.8414307, 7.1215515]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.163086, 26.905823, -48.48938]Pre:nullrot:[0.36795083, -0.13636398, -0.28561473, 0.8743233, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708684141593Acc:[0.42945862, 6.8414307, 7.1215515]Gyro:[0.1181488, 0.014373779, -0.03314209]Mag:[-42.762756, 26.831055, -48.864746]Pre:nullrot:[0.36795083, -0.13636398, -0.28561473, 0.8743233, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708684141593Acc:[0.42945862, 6.8414307, 7.1215515]Gyro:[0.115478516, 0.009597778, -0.03213501]Mag:[-42.762756, 26.831055, -48.864746]Pre:nullrot:[0.36795083, -0.13636398, -0.28561473, 0.8743233, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708756346183Acc:[0.4438324, 6.774399, 7.581238]Gyro:[0.115478516, 0.009597778, -0.03213501]Mag:[-42.762756, 26.831055, -48.864746]Pre:nullrot:[0.36795083, -0.13636398, -0.28561473, 0.8743233, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787708820066886Acc:[0.41989136, 6.712143, 7.068878]Gyro:[0.115478516, 0.009597778, -0.03213501]Mag:[-42.762756, 26.831055, -48.864746]Pre:nullrot:[0.36795083, -0.13636398, -0.28561473, 0.8743233, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
