time:787979760186076Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:786650109679038Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979824705893Acc:[0.73114014, 4.562149, 8.99382]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979888426596Acc:[0.38157654, 4.5094757, 9.36731]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979952086264Acc:[0.64494324, 4.3658295, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980015806968Acc:[0.56832886, 4.447235, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980079558188Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980143278891Acc:[0.49171448, 4.3849792, 8.854965]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980206938559Acc:[0.30018616, 4.394562, 9.017761]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980270659262Acc:[0.5204468, 4.442444, 8.309082]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980293669516Acc:[0.5204468, 4.442444, 8.309082]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21073197, -0.10424066, -0.2942348, 0.92636484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980293669516Acc:[0.5204468, 4.442444, 8.309082]Gyro:[-0.0124053955, 0.011993408, 0.009399414]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21215466, -0.1012455, -0.2925772, 0.92689717, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980293669516Acc:[0.5204468, 4.442444, 8.309082]Gyro:[-0.008544922, 0.0043029785, 0.006164551]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21215466, -0.1012455, -0.2925772, 0.92689717, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980334379966Acc:[0.3289032, 4.3179474, 9.027344]Gyro:[-0.008544922, 0.0043029785, 0.006164551]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21215466, -0.1012455, -0.2925772, 0.92689717, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980398131186Acc:[0.43424988, 4.3179474, 8.696945]Gyro:[-0.008544922, 0.0043029785, 0.006164551]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21215466, -0.1012455, -0.2925772, 0.92689717, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980461821372Acc:[0.34806824, 4.356262, 8.859741]Gyro:[-0.008544922, 0.0043029785, 0.006164551]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21215466, -0.1012455, -0.2925772, 0.92689717, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980494963462Acc:[0.34806824, 4.356262, 8.859741]Gyro:[-0.008544922, 0.0043029785, 0.006164551]Mag:[-39.385986, 35.231018, -47.06421]Pre:nullrot:[0.21231405, -0.09654059, -0.29143146, 0.9277232, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
