time:786650109682437Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141291597720Acc:[1.3201141, 5.467163, 7.6003876]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141355318423Acc:[1.2817993, 5.3378754, 9.008194]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141418886538Acc:[1.3919373, 5.2660522, 8.720886]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141482424136Acc:[1.2147675, 5.3187256, 8.160645]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141546541568Acc:[1.1237793, 5.371399, 8.146271]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141610262271Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141627870913Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141627870913Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141627870913Acc:[1.0519562, 5.4049225, 8.031357]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141673952456Acc:[1.1046295, 5.462372, 7.930786]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141737703677Acc:[1.0471649, 5.4288483, 8.112747]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141801454898Acc:[0.9466095, 5.4336395, 8.2994995]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141829286929Acc:[0.9466095, 5.4336395, 8.2994995]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.24171725, -0.1453879, -0.27594957, 0.9188509, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141829286929Acc:[0.9466095, 5.4336395, 8.2994995]Gyro:[0.0025787354, 0.0018310547, -0.0019989014]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141829286929Acc:[0.9466095, 5.4336395, 8.2994995]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141865145083Acc:[1.0615387, 5.37619, 8.323441]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141928865786Acc:[1.2099762, 5.4336395, 7.471115]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141992586490Acc:[0.99928284, 5.323517, 8.45752]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-41.337585, 31.930542, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142030702945Acc:[0.99928284, 5.323517, 8.45752]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25009435, -0.14329526, -0.2780015, 0.9163157, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142030702945Acc:[0.99928284, 5.323517, 8.45752]Gyro:[-0.002960205, 0.0017700195, -3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25222257, -0.14142565, -0.28169522, 0.9148936, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142030702945Acc:[0.99928284, 5.323517, 8.45752]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25222257, -0.14142565, -0.28169522, 0.9148936, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142056337710Acc:[1.2387085, 5.3426666, 7.921219]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25222257, -0.14142565, -0.28169522, 0.9148936, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142120058413Acc:[1.1285706, 5.328308, 8.227676]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25222257, -0.14142565, -0.28169522, 0.9148936, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
