time:241671152064Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[8.0]
time:241716925449Acc:nullGyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241668708522Acc:[0.4747498, 3.613892, 8.8201]Gyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241697715762Acc:[0.4747498, 3.613892, 8.8201]Gyro:[-0.017390892, -9.1600977E-4, -0.021200754]Mag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241756500501Acc:[0.4747498, 3.613892, 8.8201]Gyro:[-0.017390892, -9.1600977E-4, -0.021200754]Mag:[15.627481, -11.32596, -133.72789]Pre:[990.021]rot:nullMot:nullprox:[8.0]
time:241816925449Acc:[0.4747498, 3.613892, 8.8201]Gyro:[-0.017390892, -9.1600977E-4, -0.021200754]Mag:[15.627481, -11.32596, -133.72789]Pre:[990.02466]rot:nullMot:nullprox:[8.0]
time:241916925449Acc:[0.4747498, 3.613892, 8.8201]Gyro:[-0.017390892, -9.1600977E-4, -0.021200754]Mag:[15.627481, -11.32596, -133.72789]Pre:[990.01587]rot:nullMot:nullprox:[8.0]
time:241862093053Acc:[0.44578114, 3.6940944, 9.255586]Gyro:[-0.017390892, -9.1600977E-4, -0.021200754]Mag:[15.627481, -11.32596, -133.72789]Pre:[990.01587]rot:nullMot:nullprox:[8.0]
time:241891101126Acc:[0.44578114, 3.6940944, 9.255586]Gyro:[0.06935189, 0.09535628, 0.0071433634]Mag:[15.627481, -11.32596, -133.72789]Pre:[990.01587]rot:nullMot:nullprox:[8.0]
time:241956500501Acc:[0.44578114, 3.6940944, 9.255586]Gyro:[0.06935189, 0.09535628, 0.0071433634]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.01587]rot:nullMot:nullprox:[8.0]
time:242016925449Acc:[0.44578114, 3.6940944, 9.255586]Gyro:[0.06935189, 0.09535628, 0.0071433634]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.0078]rot:nullMot:nullprox:[8.0]
time:242116925449Acc:[0.44578114, 3.6940944, 9.255586]Gyro:[0.06935189, 0.09535628, 0.0071433634]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.0073]rot:nullMot:nullprox:[8.0]
time:242055477689Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[0.06935189, 0.09535628, 0.0071433634]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.0073]rot:nullMot:nullprox:[8.0]
time:242084484980Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.0073]rot:nullMot:nullprox:[8.0]
time:241891101126Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[15.917988, -11.771116, -134.48228]Pre:[990.0073]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242156500501Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[17.301264, -10.172722, -133.53506]Pre:[990.0073]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242216925449Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[17.301264, -10.172722, -133.53506]Pre:[990.00464]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242316925449Acc:[0.26550558, 3.7592137, 8.971167]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[17.301264, -10.172722, -133.53506]Pre:[989.9961]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242248862376Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.065832466, -0.014232857, -0.032196328]Mag:[17.301264, -10.172722, -133.53506]Pre:[989.9961]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242277870449Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.301264, -10.172722, -133.53506]Pre:[989.9961]rot:[0.19127667, 0.030249765, 0.28255352, 0.93950075, 0.0]Mot:nullprox:[8.0]
time:242084484980Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.301264, -10.172722, -133.53506]Pre:[989.9961]rot:[0.1872995, 0.029306112, 0.268459, 0.9444521, 0.0]Mot:nullprox:[8.0]
time:242356500501Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.056747, -11.151023, -134.42856]Pre:[989.9961]rot:[0.1872995, 0.029306112, 0.268459, 0.9444521, 0.0]Mot:nullprox:[8.0]
time:242416925449Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.056747, -11.151023, -134.42856]Pre:[989.999]rot:[0.1872995, 0.029306112, 0.268459, 0.9444521, 0.0]Mot:nullprox:[8.0]
time:242516925449Acc:[0.36222714, 3.7321606, 8.99439]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.056747, -11.151023, -134.42856]Pre:[989.999]rot:[0.1872995, 0.029306112, 0.268459, 0.9444521, 0.0]Mot:nullprox:[8.0]
time:242442247012Acc:[0.4019692, 3.7549043, 9.181608]Gyro:[-0.03186839, 0.027733544, 0.018138926]Mag:[17.056747, -11.151023, -134.42856]Pre:[989.999]rot:[0.1872995, 0.029306112, 0.268459, 0.9444521, 0.0]Mot:nullprox:[8.0]
