time:790026173115690Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:789900136840266Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026237670345Acc:[0.0894928, 4.2365417, 9.089584]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026301421565Acc:[0.4151001, 4.0928955, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026365203304Acc:[0.2953949, 4.265274, 8.85495]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026428954524Acc:[0.28581238, 4.193451, 8.883682]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026492705745Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026556456966Acc:[0.25708008, 4.226959, 8.811859]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026620177669Acc:[0.30496216, 4.174301, 8.811859]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026683928889Acc:[0.29060364, 4.2078094, 8.763977]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026680388850Acc:[0.29060364, 4.2078094, 8.763977]Gyro:[-8.087158E-4, -0.0010986328, 1.6784668E-4]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026680388850Acc:[0.29060364, 4.2078094, 8.763977]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.20450926, -0.080234416, -0.28613803, 0.9326647, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026680388850Acc:[0.29060364, 4.2078094, 8.763977]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.2053469, -0.07791384, -0.28291115, 0.9336613, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026747680110Acc:[-0.011062622, 4.284424, 8.969879]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.2053469, -0.07791384, -0.28291115, 0.9336613, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026811370296Acc:[0.25228882, 4.145569, 8.61554]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.2053469, -0.07791384, -0.28291115, 0.9336613, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026875152034Acc:[-0.14035034, 4.0689545, 9.779114]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.2053469, -0.07791384, -0.28291115, 0.9336613, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026881774348Acc:[-0.14035034, 4.0689545, 9.779114]Gyro:[0.0015106201, -0.0035552979, 0.0024261475]Mag:[-40.437317, 40.9317, -52.764893]Pre:nullrot:[0.20710155, -0.07557592, -0.27789813, 0.9349705, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
