time:790259264655678Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790047673356162Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259328751670Acc:[0.6497345, 4.9787445, 8.65863]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259392533409Acc:[0.7263489, 4.926071, 8.414429]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259456254112Acc:[0.45819092, 5.141556, 8.333023]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259519974815Acc:[0.5443878, 5.0026855, 8.352173]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259583756553Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259647446739Acc:[0.43424988, 5.1607056, 8.294708]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259711197959Acc:[0.4725647, 4.964386, 8.486252]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259774979698Acc:[0.30975342, 5.2708435, 8.213318]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259838700401Acc:[0.45341492, 5.031418, 8.337814]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259819382774Acc:[0.45341492, 5.031418, 8.337814]Gyro:[0.004043579, 0.0034637451, 0.0066986084]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259819382774Acc:[0.45341492, 5.031418, 8.337814]Gyro:[0.002166748, 0.0099487305, -0.0012817383]Mag:[-43.88733, 31.330872, -38.664246]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259819382774Acc:[0.45341492, 5.031418, 8.337814]Gyro:[0.002166748, 0.0099487305, -0.0012817383]Mag:[-42.086792, 31.330872, -37.01477]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259902970420Acc:[0.3576355, 5.108032, 8.404846]Gyro:[0.002166748, 0.0099487305, -0.0012817383]Mag:[-42.086792, 31.330872, -37.01477]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259966172325Acc:[0.36242676, 5.146347, 8.265976]Gyro:[0.002166748, 0.0099487305, -0.0012817383]Mag:[-42.086792, 31.330872, -37.01477]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260029954063Acc:[0.30018616, 5.103241, 8.380905]Gyro:[0.002166748, 0.0099487305, -0.0012817383]Mag:[-42.086792, 31.330872, -37.01477]Pre:nullrot:[0.23958424, -0.12077924, -0.34000945, 0.9013353, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
