time:790281424040770Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790409973692870Acc:[0.5443878, 4.6435547, 8.634689]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410037627196Acc:[0.39115906, 4.76326, 8.313873]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410100829100Acc:[0.27622986, 4.686661, 8.4335785]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410165099120Acc:[-0.039794922, 4.4137115, 8.878906]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410228880858Acc:[-0.087677, 4.380188, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410292632079Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410356352782Acc:[-0.10205078, 4.533432, 8.874115]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410420134520Acc:[-0.35583496, 4.514267, 8.663422]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410483885741Acc:[-0.21217346, 4.5046997, 9.041702]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410478514647Acc:[-0.21217346, 4.5046997, 9.041702]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.2317551, -0.09807724, -0.29865414, 0.9205847, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410478514647Acc:[-0.21217346, 4.5046997, 9.041702]Gyro:[-0.011856079, -0.006225586, 0.0023040771]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410478514647Acc:[-0.21217346, 4.5046997, 9.041702]Gyro:[-0.031845093, -0.013702393, 0.0043792725]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410548125243Acc:[-0.38456726, 4.4568176, 8.629898]Gyro:[-0.031845093, -0.013702393, 0.0043792725]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410611388182Acc:[-0.2073822, 4.4280853, 8.672989]Gyro:[-0.031845093, -0.013702393, 0.0043792725]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410675169921Acc:[-0.2648468, 4.562149, 8.668213]Gyro:[-0.031845093, -0.013702393, 0.0043792725]Mag:[-37.586975, 32.681274, -48.789978]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410680022215Acc:[-0.2648468, 4.562149, 8.668213]Gyro:[-0.031845093, -0.013702393, 0.0043792725]Mag:[-36.686707, 35.38208, -48.48938]Pre:nullrot:[0.22688758, -0.08423173, -0.3016706, 0.9221832, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
