time:790526880849276Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424032740Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790526945425562Acc:[-2.2855682, 5.462372, 7.7823486]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527009146266Acc:[-2.3478088, 4.897339, 7.0353546]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527072897486Acc:[-2.9703064, 4.1886597, 8.969879]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527136648707Acc:[-3.080429, 4.0737457, 8.0026245]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527200430445Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-29.637146, 34.85565, -48.339844]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-29.637146, 34.85565, -48.339844]Pre:nullrot:[0.29656586, 0.04077142, -0.294963, 0.90740466, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527264151148Acc:[0.49650574, 3.149582, 9.803055]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-29.637146, 34.85565, -48.339844]Pre:nullrot:[0.29656586, 0.04077142, -0.294963, 0.90740466, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527327627711Acc:[-0.81074524, 3.8630524, 7.9834747]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-29.637146, 34.85565, -48.339844]Pre:nullrot:[0.29656586, 0.04077142, -0.294963, 0.90740466, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527391684107Acc:[-2.031784, 4.174301, 10.138245]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-29.637146, 34.85565, -48.339844]Pre:nullrot:[0.29656586, 0.04077142, -0.294963, 0.90740466, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527400564723Acc:[-2.031784, 4.174301, 10.138245]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.29656586, 0.04077142, -0.294963, 0.90740466, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527400564723Acc:[-2.031784, 4.174301, 10.138245]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527400564723Acc:[-2.031784, 4.174301, 10.138245]Gyro:[0.0066375732, 0.01184082, 0.005432129]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527455404810Acc:[-2.7404633, 4.2796326, 8.941147]Gyro:[0.0066375732, 0.01184082, 0.005432129]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527519217066Acc:[-2.2903442, 4.0689545, 8.1414795]Gyro:[0.0066375732, 0.01184082, 0.005432129]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527582937769Acc:[-1.8306732, 4.0545807, 8.969879]Gyro:[0.0066375732, 0.01184082, 0.005432129]Mag:[-30.085754, 38.00659, -49.98932]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527602011256Acc:[-1.8306732, 4.0545807, 8.969879]Gyro:[0.0066375732, 0.01184082, 0.005432129]Mag:[-29.560852, 39.50653, -49.613953]Pre:nullrot:[0.24988586, 0.022190802, -0.2881746, 0.92413205, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
