time:790643479104174Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424020606Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643542795020Acc:[0.45819092, 8.076843, 5.431244]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643606271583Acc:[0.67367554, 7.8565826, 5.7999573]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643670846778Acc:[0.6880493, 7.8996735, 5.6515045]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643734628516Acc:[0.71676636, 7.9188232, 5.5605316]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643798410255Acc:[0.6688843, 7.957138, 5.550949]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643862130958Acc:[0.67367554, 7.9475555, 5.6084137]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643925882178Acc:[0.6018524, 7.981079, 5.6419373]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643989663917Acc:[0.6832428, 7.847, 5.637146]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644020456153Acc:[0.6832428, 7.847, 5.637146]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-33.010864, 14.456177, -42.788696]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644020456153Acc:[0.6832428, 7.847, 5.637146]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.42862305, -0.16991583, -0.26557073, 0.84668946, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644020456153Acc:[0.6832428, 7.847, 5.637146]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644053994971Acc:[0.65452576, 7.957138, 5.589264]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644117227393Acc:[0.71676636, 7.9619293, 5.6419373]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644181009132Acc:[0.77423096, 7.847, 5.6419373]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644244241553Acc:[0.7694397, 7.894882, 5.6084137]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-31.886292, 13.780212, -40.689087]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644221505958Acc:[0.7694397, 7.894882, 5.6084137]Gyro:[-0.01914978, -0.0041656494, 0.015029907]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644221505958Acc:[0.7694397, 7.894882, 5.6084137]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4279704, -0.17272648, -0.26537234, 0.8465131, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644221505958Acc:[0.7694397, 7.894882, 5.6084137]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644308542091Acc:[0.664093, 7.957138, 5.570114]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644372323829Acc:[0.65452576, 7.9954376, 5.565323]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644436075049Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
